"uniname";"uniurl";"scountryname";"unirank"
"Harvard University  ";"http://www.harvard.edu/";"us";"1"
"Massachusetts Institute of Technology";"http://www.mit.edu/";"us";"2"
"Stanford University";"http://www.stanford.edu/";"us";"3"
"University of California Berkeley";"http://www.berkeley.edu/";"us";"4"
"Cornell University";"http://www.cornell.edu/";"us";"5"
"University of Michigan";"http://www.umich.edu/";"us";"6"
"University of Minnesota";"http://www.umn.edu/";"us";"7"
"University of Washington";"http://www.washington.edu/";"us";"8"
"University of Wisconsin Madison";"http://www.wisc.edu/";"us";"9"
"University of Texas Austin";"http://www.utexas.edu/";"us";"10"
"University of Pennsylvania";"http://www.upenn.edu/";"us";"11"
"Pennsylvania State University   ";"http://www.psu.edu/";"us";"12"
"Columbia University New York";"http://www.columbia.edu/";"us";"13"
"Carnegie Mellon University";"http://www.cmu.edu/";"us";"14"
"University of Illinois Urbana Champaign  ";"http://www.uiuc.edu/";"us";"15"
"University of California Los Angeles";"http://www.ucla.edu/";"us";"16"
"Texas A&M University";"http://www.tamu.edu/";"us";"17"
"University of Maryland  ";"http://www.umd.edu/";"us";"18"
"Purdue University";"http://www.purdue.edu/";"us";"19"
"University of North Carolina Chapel Hill";"http://www.unc.edu/";"us";"20"
"Michigan State University";"http://www.msu.edu/";"us";"21"
"University of Cambridge";"http://www.cam.ac.uk/";"uk";"22"
"University of Florida";"http://www.ufl.edu/";"us";"23"
"Rutgers University";"http://www.rutgers.edu/";"us";"24"
"Indiana University  ";"http://www.indiana.edu/";"us";"25"
"New York University";"http://www.nyu.edu/";"us";"26"
"North Carolina State University";"http://www.ncsu.edu/";"us";"27"
"University of Virginia";"http://www.virginia.edu/";"us";"28"
"Yale University";"http://www.yale.edu/";"us";"29"
"University of Arizona";"http://www.arizona.edu/";"us";"30"
"University of Toronto";"http://www.utoronto.ca/";"ca";"31"
"University of California San Diego";"http://www.ucsd.edu/";"us";"32"
"University of Pittsburgh";"http://www.pitt.edu/";"us";"33"
"Princeton University";"http://www.princeton.edu/";"us";"34"
"Duke University";"http://www.duke.edu/";"us";"35"
"California Institute of Technology Caltech";"http://www.caltech.edu/";"us";"36"
"Virginia Polytechnic Institute and State University";"http://www.vt.edu/";"us";"37"
"University of British Columbia";"http://www.ubc.ca/";"ca";"38"
"Georgia Institute of Technology";"http://www.gatech.edu/";"us";"39"
"Swiss Federal Institute of Technology ETH Zürich";"http://www.ethz.ch/";"ch";"40"
"University of Oxford";"http://www.ox.ac.uk/";"uk";"41"
"Ohio State University";"http://www.osu.edu/";"us";"42"
"University of Chicago   ";"http://www.uchicago.edu/";"us";"43"
"University of Southern California";"http://www.usc.edu/";"us";"44"
"University of Georgia";"http://www.uga.edu/";"us";"45"
"University of California Davis";"http://www.ucdavis.edu/";"us";"46"
"University of California Irvine";"http://www.uci.edu/";"us";"47"
"Iowa State University";"http://www.iastate.edu/";"us";"48"
"University of Colorado Boulder";"http://www.colorado.edu/";"us";"49"
"University of Connecticut";"http://www.uconn.edu/";"us";"50"
"University of Tokyo";"http://www.u-tokyo.ac.jp/";"jp";"51"
"University of Edinburgh";"http://www.ed.ac.uk/";"uk";"52"
"University of Oslo";"http://www.uio.no/";"no";"53"
"Oregon State University";"http://oregonstate.edu/";"us";"54"
"Johns Hopkins University  /  ";"http://www.jhu.edu/";"us";"55"
"Arizona State University";"http://www.asu.edu/";"us";"56"
"University of California Santa Barbara";"http://www.ucsb.edu/";"us";"57"
"University of Utah";"http://www.utah.edu/";"us";"58"
"University of Helsinki   ";"http://www.helsinki.fi/";"fi";"59"
"Université de Montreal";"http://www.umontreal.ca/";"ca";"60"
"Norwegian University of Science & Technology";"http://www.ntnu.no/";"no";"61"
"University of Iowa";"http://www.uiowa.edu/";"us";"62"
"University College London";"http://www.ucl.ac.uk/";"uk";"63"
"Washington University Saint Louis";"http://www.wustl.edu/";"us";"64"
"University of Nebraska Lincoln";"http://www.unl.edu/";"us";"65"
"Simon Fraser University";"http://www.sfu.ca/";"ca";"66"
"George Mason University";"http://www.gmu.edu/";"us";"67"
"University of Alberta";"http://www.ualberta.ca/";"ca";"68"
"Universität Wien";"http://www.univie.ac.at/";"at";"69"
"Universidad Nacional Autónoma de México   ";"http://www.unam.mx/";"mx";"70"
"Boston University";"http://www.bu.edu/";"us";"71"
"École Polytechnique Fédérale de Lausanne";"http://www.epfl.ch/";"ch";"72"
"Australian National University";"http://www.anu.edu.au/";"au";"73"
"University of Massachusetts Amherst";"http://umass.edu/";"us";"74"
"Université de Geneve";"http://www.unige.ch/";"ch";"75"
"Florida State University";"http://www.fsu.edu/";"us";"76"
"University of Tennessee Knoxville";"http://www.utk.edu/";"us";"77"
"University of Hong Kong";"http://www.hku.hk/";"hk";"78"
"University of Missouri Columbia";"http://www.missouri.edu/";"us";"79"
"Vanderbilt University";"http://www.vanderbilt.edu/";"us";"80"
"McGill University";"http://www.mcgill.ca/";"ca";"81"
"University of Oregon";"http://www.uoregon.edu/";"us";"82"
"Kyoto University";"http://www.kyoto-u.ac.jp/";"jp";"83"
"University of California Santa Cruz";"http://www.ucsc.edu/";"us";"84"
"University of Southampton";"http://www.soton.ac.uk/";"uk";"85"
"Università di Bologna";"http://www.unibo.it/";"it";"86"
